Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean
1920.63,-0.17,-0.25
1920.71,-0.18,-0.19
1920.79,-0.46,-0.27
1920.88,-0.35,-0.27
1920.96,-0.51,-0.44
1921.04,-0.04,-0.02
1921.13,-0.18,-0.19
1921.21,-0.14,-0.23
1921.29,-0.20,-0.30
1921.38,-0.21,-0.29
1921.46,-0.13,-0.28
1921.54,-0.01,-0.15
1921.63,-0.48,-0.24
1921.71,-0.15,-0.17
1921.79,-0.12,-0.03
1921.88,-0.28,-0.13
1921.96,-0.20,-0.17
1922.04,-0.42,-0.33
1922.13,-0.48,-0.44
1922.21,-0.33,-0.13
1922.29,-0.13,-0.24
1922.38,-0.39,-0.34
1922.46,-0.34,-0.33
1922.54,-0.06,-0.25
1922.63,-0.26,-0.31
1922.71,-0.15,-0.32
1922.79,-0.29,-0.33
1922.88,-0.13,-0.14
1922.96,-0.17,-0.19
1923.04,-0.26,-0.29
1923.13,-0.23,-0.37
1923.21,-0.25,-0.35
1923.29,-0.48,-0.40
1923.38,-0.34,-0.35
1923.46,-0.30,-0.26
1923.54,-0.52,-0.30
1923.63,-0.38,-0.30
1923.71,-0.31,-0.28
1923.79,-0.11,-0.12
1923.88,-0.04,0.00
1923.96,-0.10,-0.03
1924.04,-0.30,-0.22
1924.13,-0.45,-0.24
1924.21,-0.16,-0.08
1924.29,-0.53,-0.32
1924.38,-0.30,-0.19
1924.46,-0.18,-0.23
1924.54,-0.17,-0.26
1924.63,-0.18,-0.34
1924.71,-0.08,-0.31
1924.79,-0.16,-0.34
1924.88,-0.08,-0.20
1924.96,-0.30,-0.41
1925.04,-0.45,-0.37
1925.13,-0.38,-0.38
1925.21,-0.29,-0.26
1925.29,-0.17,-0.25
1925.38,-0.35,-0.30
1925.46,-0.43,-0.34
1925.54,-0.43,-0.28
1925.63,-0.10,-0.16
1925.71,-0.31,-0.16
1925.79,-0.37,-0.18
1925.88,-0.03,0.04
1925.96,0.18,0.08
1926.04,0.24,0.19
1926.13,0.26,0.06
1926.21,0.19,0.11
1926.29,-0.12,-0.13
1926.38,-0.37,-0.22
1926.46,-0.23,-0.23
1926.54,-0.18,-0.25
1926.63,0.00,-0.13
1926.71,0.00,-0.13
1926.79,-0.13,-0.10
1926.88,0.02,-0.05
1926.96,-0.27,-0.28
1927.04,-0.21,-0.28
1927.13,-0.20,-0.18
1927.21,-0.39,-0.37
1927.29,-0.36,-0.31
1927.38,-0.32,-0.26
1927.46,-0.28,-0.27
1927.54,-0.06,-0.17
1927.63,-0.27,-0.21
1927.71,-0.12,-0.11
1927.79,0.13,-0.01
1927.88,0.10,-0.04
1927.96,-0.25,-0.34
1928.04,0.06,-0.01
1928.13,-0.02,-0.08
1928.21,-0.11,-0.27
1928.29,-0.08,-0.28
1928.38,-0.40,-0.30
1928.46,-0.55,-0.37
